date,desc,btc_in,btc_out,hash,bal
20140313,PAYMENT RECEIVED,0.072,0,c71469c805ae39ec39db95ef0145a11adfd69a3315bf23725f25d40af26f62df,77.39018263
20140313,PAYMENT RECEIVED,1,0,0ff04fb825389c8e8e5dff6a55bb562d71b63577fc25edcda5a20ca534f5f919,76.82325213
20140313,PAYMENT RECEIVED,0.3949305,0,624fc790db916e3d7ee7be156680564482af3106e6347e13acdac269f1334e55,77.21818263
20140313,PAYMENT RECEIVED,0.05,0,3a6c3fc85b1579ade719285e4de12632017c25d8743c2471cc307e9935964bb9,77.26818263
20140313,PAYMENT RECEIVED,2.5923,0,99a25a45d69b64da6f2ed18f2b122e78a3105ddf0af97858f7ee514877033ee2,72.82325213
20140313,PAYMENT RECEIVED,3,0,e521fbbdbc5cd37f15ea9effd23d638804ec96df822d5dc46184d02baf283006,75.82325213
20140313,PAYMENT RECEIVED,0.29,0,df45448bd9ab9fdb6bacbe17ddef098972f66827a8565dba8cfbeb6b4c0c580b,70.23095213
20140313,PAYMENT RECEIVED,0.073,0,6026720c1c938cd24dfb4d4ed39269b3c634b87a3d8a0e09d16c4f3cbb0aec84,69.94095213
20140313,PAYMENT RECEIVED,0.4,0,b039ac8a2dfd5fca98f747d91aa8ad7a4a07fbd4c6f60eae8c0b773a04fd6a8b,69.84795213
20140313,PAYMENT RECEIVED,0.02,0,ed055401ae6c8b7f6cd3c72e3fa88100091489948b6fbd9ece8d1f3e1a9dd99b,69.86795213
20140312,PAYMENT RECEIVED,1.523641,0,93c0ff27ef12e01dd5547f749183998f327de85895bff6d35830949e37cd18cc,69.34795213
20140313,PAYMENT RECEIVED,0.1,0,d8b4c8594d6a37315dfb0185f73b11c36f1e5d3d6f2ea08a4d36c9310a033b71,69.44795213
20140312,PAYMENT RECEIVED,0.99995,0,35b85dd946cb81e2be38368efe85a9dc4e31b33cdc2095ac00b95883db0aa6c9,66.60750079
20140312,PAYMENT RECEIVED,0.075,0,e8c4e78ab31e67c0d3e446212f27de44a98426146d34b692af57a166f66b52e3,66.68250079
20140312,PAYMENT RECEIVED,0.15181034,0,a0ad3144ee5e4b6bcb499e814896748233946dcc8cef7202e0582ddbbdd6d907,66.83431113
